 Thu, 25 Mar 2021 11:35:52  INFO loginPage.py login [ line:27 ] 登录成功
 Thu, 25 Mar 2021 11:35:58  INFO supplierBackStage.py checkWorkStation [ line:75 ] ——检查工作台界面——
 Thu, 25 Mar 2021 11:36:07  INFO supplierBackStage.py checkWorkStation [ line:81 ] ——工作台界面显示正常——
 Thu, 25 Mar 2021 11:36:09  INFO supplierBackStage.py checkWorkStation [ line:85 ] ——工作台-浏览记录界面显示正常
 Thu, 25 Mar 2021 11:36:22  INFO supplierBackStage.py checkWorkStation [ line:91 ] ——工作台-发票订单界面显示正常——
 Thu, 25 Mar 2021 11:36:26  INFO supplierBackStage.py checkUserSetting [ line:108 ] ——检查个人设置界面——
 Thu, 25 Mar 2021 11:36:28  INFO supplierBackStage.py checkUserSetting [ line:113 ] ——个人设置-个人资料界面显示正常——
 Thu, 25 Mar 2021 11:36:30  INFO supplierBackStage.py checkUserSetting [ line:117 ] ——个人设置-账号安全界面显示正常——
 Thu, 25 Mar 2021 11:36:32  INFO supplierBackStage.py checkUserSetting [ line:121 ] ——认证界面显示正常——
 Thu, 25 Mar 2021 11:36:34  INFO supplierBackStage.py checkDatacount [ line:137 ] ——检查营销数据统计界面——
 Thu, 25 Mar 2021 11:36:36  INFO supplierBackStage.py checkDatacount [ line:142 ] ——营销数据统计界面显示正常——
 Thu, 25 Mar 2021 11:36:38  INFO supplierBackStage.py checkDataAnalysis [ line:154 ] ——检查营销数据分析界面——
 Thu, 25 Mar 2021 11:36:40  INFO supplierBackStage.py checkDataAnalysis [ line:158 ] ——营销数据分析界面显示正常——
 Thu, 25 Mar 2021 11:36:42  INFO supplierBackStage.py checkMessage [ line:171 ] ——检查供应商通知界面——
 Thu, 25 Mar 2021 11:36:43  INFO supplierBackStage.py checkMessage [ line:175 ] ——供应商通知界面显示正常——
 Thu, 25 Mar 2021 11:36:45  INFO supplierBackStage.py checkSignUp [ line:187 ] ——检查待报名界面——
 Thu, 25 Mar 2021 11:36:47  INFO supplierBackStage.py checkSignUp [ line:191 ] ——待报名界面显示正常——
 Thu, 25 Mar 2021 11:36:49  INFO supplierBackStage.py checkMybidding [ line:204 ] ——检查我的招标界面——
 Thu, 25 Mar 2021 11:36:59  INFO supplierBackStage.py checkMybidding [ line:211 ] ——我的招标界面显示正常——
